Redshift,GR_Density,TCWT_Density
2.299299299299299193e+01,1.123783074303561780e-01,1.650220166939107280e-01
2.296796796796796869e+01,1.123920012894532583e-01,1.649076662129363158e-01
2.294294294294294190e+01,1.124057254479357559e-01,1.647927502101388109e-01
2.291791791791791866e+01,1.124194800063741950e-01,1.646772666470150137e-01
2.289289289289289187e+01,1.124332650657842159e-01,1.645612134806877791e-01
2.286786786786786863e+01,1.124470807276291978e-01,1.644445886639394894e-01
2.284284284284284183e+01,1.124609270938224520e-01,1.643273901452452224e-01
2.281781781781781859e+01,1.124748042667299830e-01,1.642096158688075014e-01
2.279279279279279180e+01,1.124887123491728619e-01,1.640912637745915725e-01
2.276776776776776856e+01,1.125026514444298215e-01,1.639723317983615147e-01
2.274274274274274177e+01,1.125166216562397264e-01,1.638528178717168771e-01
2.271771771771771853e+01,1.125306230888042242e-01,1.637327199221307872e-01
2.269269269269269174e+01,1.125446558467902425e-01,1.636120358729881152e-01
2.266766766766766850e+01,1.125587200353326822e-01,1.634907636436252476e-01
2.264264264264264170e+01,1.125728157600369289e-01,1.633689011493700827e-01
2.261761761761761846e+01,1.125869431269815868e-01,1.632464463015834144e-01
2.259259259259259167e+01,1.126011022427210462e-01,1.631233970077007323e-01
2.256756756756756843e+01,1.126152932142881619e-01,1.629997511712754088e-01
2.254254254254254164e+01,1.126295161491970287e-01,1.628755066920223316e-01
2.251751751751751840e+01,1.126437711554455767e-01,1.627506614658628115e-01
2.249249249249249161e+01,1.126580583415183190e-01,1.626252133849702686e-01
2.246746746746746481e+01,1.126723778163891548e-01,1.624991603378169724e-01
2.244244244244244157e+01,1.126867296895240761e-01,1.623725002092215319e-01
2.241741741741741833e+01,1.127011140708839010e-01,1.622452308803975507e-01
2.239239239239239154e+01,1.127155310709272024e-01,1.621173502290033652e-01
2.236736736736736475e+01,1.127299808006130138e-01,1.619888561291925044e-01
2.234234234234234151e+01,1.127444633714036748e-01,1.618597464516654538e-01
2.231731731731731827e+01,1.127589788952677169e-01,1.617300190637220303e-01
2.229229229229229148e+01,1.127735274846827784e-01,1.615996718293155610e-01
2.226726726726726469e+01,1.127881092526383661e-01,1.614687026091072841e-01
2.224224224224224145e+01,1.128027243126388940e-01,1.613371092605222767e-01
2.221721721721721821e+01,1.128173727787065705e-01,1.612048896378066032e-01
2.219219219219219141e+01,1.128320547653843819e-01,1.610720415920850190e-01
2.216716716716716462e+01,1.128467703877389650e-01,1.609385629714205623e-01
2.214214214214214138e+01,1.128615197613637433e-01,1.608044516208744779e-01
2.211711711711711814e+01,1.128763030023818281e-01,1.606697053825679733e-01
2.209209209209209135e+01,1.128911202274491266e-01,1.605343220957446693e-01
2.206706706706706456e+01,1.129059715537573533e-01,1.603982995968345482e-01
2.204204204204204132e+01,1.129208570990370836e-01,1.602616357195189023e-01
2.201701701701701808e+01,1.129357769815609730e-01,1.601243282947966140e-01
2.199199199199199128e+01,1.129507313201467134e-01,1.599863751510516574e-01
2.196696696696696449e+01,1.129657202341602940e-01,1.598477741141217379e-01
2.194194194194194125e+01,1.129807438435191519e-01,1.597085230073685413e-01
2.191691691691691801e+01,1.129958022686952668e-01,1.595686196517486222e-01
2.189189189189189122e+01,1.130108956307184498e-01,1.594280618658861504e-01
2.186686686686686443e+01,1.130260240511795911e-01,1.592868474661471856e-01
2.184184184184184119e+01,1.130411876522338099e-01,1.591449742667143952e-01
2.181681681681681795e+01,1.130563865566038689e-01,1.590024400796639648e-01
2.179179179179179116e+01,1.130716208875832962e-01,1.588592427150434250e-01
2.176676676676676436e+01,1.130868907690399106e-01,1.587153799809511989e-01
2.174174174174174112e+01,1.131021963254189577e-01,1.585708496836172876e-01
2.171671671671671788e+01,1.131175376817466494e-01,1.584256496274855097e-01
2.169169169169169109e+01,1.131329149636334519e-01,1.582797776152971292e-01
2.166666666666666430e+01,1.131483282972775006e-01,1.581332314481761203e-01
2.164164164164164106e+01,1.131637778094681385e-01,1.579860089257156819e-01
2.161661661661661782e+01,1.131792636275891911e-01,1.578381078460664999e-01
2.159159159159159103e+01,1.131947858796226863e-01,1.576895260060263149e-01
2.156656656656656423e+01,1.132103446941521707e-01,1.575402612011311820e-01
2.154154154154154099e+01,1.132259402003663179e-01,1.573903112257483972e-01
2.151651651651651775e+01,1.132415725280625368e-01,1.572396738731706711e-01
2.149149149149149096e+01,1.132572418076504550e-01,1.570883469357123863e-01
2.146646646646646417e+01,1.132729481701556379e-01,1.569363282048070740e-01
2.144144144144144093e+01,1.132886917472230998e-01,1.567836154711066965e-01
2.141641641641641769e+01,1.133044726711210926e-01,1.566302065245828712e-01
2.139139139139139090e+01,1.133202910747447556e-01,1.564760991546292890e-01
2.136636636636636410e+01,1.133361470916197516e-01,1.563212911501662417e-01
2.134134134134134086e+01,1.133520408559061110e-01,1.561657802997468703e-01
2.131631631631631763e+01,1.133679725024019369e-01,1.560095643916649677e-01
2.129129129129129083e+01,1.133839421665472635e-01,1.558526412140647521e-01
2.126626626626626404e+01,1.133999499844277614e-01,1.556950085550524443e-01
2.124124124124124080e+01,1.134159960927786925e-01,1.555366642028096769e-01
2.121621621621621756e+01,1.134320806289887545e-01,1.553776059457087078e-01
2.119119119119119077e+01,1.134482037311039804e-01,1.552178315724295765e-01
2.116616616616616398e+01,1.134643655378317073e-01,1.550573388720792034e-01
2.114114114114114074e+01,1.134805661885444350e-01,1.548961256343124593e-01
2.111611611611611750e+01,1.134968058232839194e-01,1.547341896494549562e-01
2.109109109109109070e+01,1.135130845827651280e-01,1.545715287086281975e-01
2.106606606606606391e+01,1.135294026083803476e-01,1.544081406038765314e-01
2.104104104104104067e+01,1.135457600422031810e-01,1.542440231282962704e-01
2.101601601601601743e+01,1.135621570269927105e-01,1.540791740761665585e-01
2.099099099099099064e+01,1.135785937061976059e-01,1.539135912430828479e-01
2.096596596596596385e+01,1.135950702239603427e-01,1.537472724260922352e-01
2.094094094094094061e+01,1.136115867251212413e-01,1.535802154238306849e-01
2.091591591591591737e+01,1.136281433552229214e-01,1.534124180366630841e-01
2.089089089089089057e+01,1.136447402605143681e-01,1.532438780668248235e-01
2.086586586586586378e+01,1.136613775879553173e-01,1.530745933185662933e-01
2.084084084084084054e+01,1.136780554852205305e-01,1.529045615982988493e-01
2.081581581581581730e+01,1.136947741007041518e-01,1.527337807147439996e-01
2.079079079079079051e+01,1.137115335835241076e-01,1.525622484790840894e-01
2.076576576576576372e+01,1.137283340835265472e-01,1.523899627051157890e-01
2.074074074074074048e+01,1.137451757512901590e-01,1.522169212094061641e-01
2.071571571571571724e+01,1.137620587381307918e-01,1.520431218114504379e-01
2.069069069069069045e+01,1.137789831961059650e-01,1.518685623338331125e-01
2.066566566566566365e+01,1.137959492780192261e-01,1.516932406023907554e-01
2.064064064064064041e+01,1.138129571374249943e-01,1.515171544463780329e-01
2.061561561561561717e+01,1.138300069286329735e-01,1.513403016986357152e-01
2.059059059059059038e+01,1.138470988067128431e-01,1.511626801957614286e-01
2.056556556556556359e+01,1.138642329274990594e-01,1.509842877782834603e-01
2.054054054054054035e+01,1.138814094475953387e-01,1.508051222908363964e-01
2.051551551551551711e+01,1.138986285243795971e-01,1.506251815823401730e-01
2.049049049049049032e+01,1.139158903160087388e-01,1.504444635061815694e-01
2.046546546546546352e+01,1.139331949814232497e-01,1.502629659203982837e-01
2.044044044044044028e+01,1.139505426803523735e-01,1.500806866878662549e-01
2.041541541541541704e+01,1.139679335733187471e-01,1.498976236764891223e-01
2.039039039039039025e+01,1.139853678216434657e-01,1.497137747593914325e-01
2.036536536536536346e+01,1.140028455874509822e-01,1.495291378151138995e-01
2.034034034034034022e+01,1.140203670336741582e-01,1.493437107278121900e-01
